date,festival_id,label,day_index,duration_days,lunar_month
1989-10-02,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
1989-10-03,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
1989-10-04,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
1989-10-05,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
1989-10-06,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
1989-10-07,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
1989-10-08,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
1989-10-29,diwali,Diwali (Lakshmi Puja),1,1,ashvina
1990-02-23,maha_shivaratri,Maha Shivaratri,1,1,magha
1990-03-27,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
1990-03-28,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
1990-03-29,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
1990-03-30,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
